          hand_p2_b6  |                hand  |Hall A Neutron Detector, Plane 1 Bar 6  |                               0*cm 68.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4216 
          hand_p2_b7  |                hand  |Hall A Neutron Detector, Plane 1 Bar 7  |                               0*cm 56.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4222 
          hand_p2_b8  |                hand  |Hall A Neutron Detector, Plane 1 Bar 8  |                               0*cm 43.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4229 
          hand_p2_b9  |                hand  |Hall A Neutron Detector, Plane 1 Bar 9  |                               0*cm 31.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4237 
         hand_p2_b10  |                hand  |Hall A Neutron Detector, Plane 1 Bar 10  |                               0*cm 18.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4246 
         hand_p2_b11  |                hand  |Hall A Neutron Detector, Plane 1 Bar 11  |                                0*cm 6.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4256 
         hand_p2_b12  |                hand  |Hall A Neutron Detector, Plane 1 Bar 12  |                               0*cm -6.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4267 
         hand_p2_b13  |                hand  |Hall A Neutron Detector, Plane 1 Bar 13  |                              0*cm -18.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4279 
         hand_p2_b14  |                hand  |Hall A Neutron Detector, Plane 1 Bar 14  |                              0*cm -31.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4292 
         hand_p2_b15  |                hand  |Hall A Neutron Detector, Plane 1 Bar 15  |                              0*cm -43.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4306 
         hand_p2_b16  |                hand  |Hall A Neutron Detector, Plane 1 Bar 16  |                              0*cm -56.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4321 
         hand_p2_b17  |                hand  |Hall A Neutron Detector, Plane 1 Bar 17  |                              0*cm -68.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4337 
         hand_p2_b18  |                hand  |Hall A Neutron Detector, Plane 1 Bar 18  |                              0*cm -81.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4354 
         hand_p2_b19  |                hand  |Hall A Neutron Detector, Plane 1 Bar 19  |                              0*cm -93.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4372 
         hand_p2_b20  |                hand  |Hall A Neutron Detector, Plane 1 Bar 20  |                             0*cm -106.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4391 
         hand_p2_b21  |                hand  |Hall A Neutron Detector, Plane 1 Bar 21  |                             0*cm -118.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4411 
